dz_2021_code,white,asian,black,mixed,other
N20000001,734,1,0,3,0
N20000002,329,0,1,1,0
N20000003,365,0,0,0,0
N20000004,655,0,0,7,1
N20000005,676,0,0,0,0
N20000006,461,1,0,2,0
N20000007,877,1,2,0,0
N20000008,636,3,0,2,0
N20000009,392,0,1,8,0
N20000010,543,0,0,1,0
N20000011,512,0,7,6,0
N20000012,497,2,0,4,0
N20000013,407,0,0,0,1
N20000014,505,1,0,0,0
N20000015,579,6,1,0,0
N20000016,444,3,1,5,0
N20000017,667,2,5,2,0
N20000018,479,7,0,0,0
N20000019,369,5,14,5,0
N20000020,545,3,8,0,3
N20000021,540,0,0,4,1
N20000022,437,2,1,1,0
N20000023,491,1,0,4,3
N20000024,620,0,0,0,0
N20000025,360,50,0,5,0
N20000026,550,0,0,4,0
N20000027,459,98,0,1,0
N20000028,546,1,3,0,0
N20000029,545,0,2,4,0
N20000030,490,3,2,0,1
N20000031,524,3,4,0,0
N20000032,458,0,0,0,1
N20000033,536,0,0,0,0
N20000034,438,1,0,0,0
N20000035,592,53,7,17,2
N20000036,360,13,1,0,0
N20000037,395,16,10,1,0
N20000038,556,56,7,5,4
N20000039,480,4,1,13,2
N20000040,323,18,10,5,17
N20000041,831,90,0,9,1
N20000042,527,129,0,9,0
N20000043,715,95,3,4,2
N20000044,444,47,1,1,0
N20000045,430,31,0,5,0
N20000046,544,20,5,1,0
N20000047,480,29,0,6,1
N20000048,540,15,0,7,0
N20000049,504,48,2,0,0
N20000050,418,3,0,0,4
N20000051,474,9,1,9,0
N20000052,492,7,0,1,1
N20000053,382,16,9,1,0
N20000054,504,7,1,4,0
N20000055,318,12,3,3,0
N20000056,467,8,0,6,0
N20000057,431,21,6,4,2
N20000058,396,13,4,0,0
N20000059,383,8,11,10,1
N20000060,348,3,0,4,0
N20000061,362,17,0,3,0
N20000062,583,5,6,3,0
N20000063,321,32,0,1,0
N20000064,378,10,0,2,1
N20000065,485,6,0,0,0
N20000066,325,0,0,0,0
N20000067,498,11,0,12,0
N20000068,410,11,2,0,0
N20000069,451,5,1,4,0
N20000070,419,6,0,0,1
N20000071,313,13,4,3,6
N20000072,517,16,10,15,0
N20000073,465,4,0,2,0
N20000074,460,4,0,3,1
N20000075,411,9,1,5,6
N20000076,345,15,10,0,5
N20000077,298,2,2,1,1
N20000078,320,2,1,0,0
N20000079,379,3,3,2,0
N20000080,591,38,1,2,1
N20000081,325,4,4,0,1
N20000082,441,0,9,0,2
N20000083,269,1,0,0,0
N20000084,286,0,0,0,2
N20000085,566,15,2,8,4
N20000086,606,2,0,3,0
N20000087,472,0,1,0,0
N20000088,480,0,6,0,0
N20000089,674,0,1,4,0
N20000090,787,5,2,9,0
