dz_2021_code,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000001,734,0,0,0,0,0,0,0,1,0,0,3,0
N20000002,329,0,0,0,0,0,0,0,0,1,0,1,0
N20000003,365,0,0,0,0,0,0,0,0,0,0,0,0
N20000004,655,0,0,0,0,0,0,0,0,0,0,7,1
N20000005,676,0,0,0,0,0,0,0,0,0,0,0,0
N20000006,461,0,0,0,1,0,0,0,0,0,0,2,0
N20000007,877,0,0,1,0,0,0,0,0,2,0,0,0
N20000008,636,0,0,2,0,1,0,0,0,0,0,2,0
N20000009,392,0,0,0,0,0,0,0,0,1,0,8,0
N20000010,543,0,0,0,0,0,0,0,0,0,0,1,0
N20000011,512,0,0,0,0,0,0,0,0,7,0,6,0
N20000012,497,0,0,0,0,1,0,1,0,0,0,4,0
N20000013,407,0,0,0,0,0,0,0,0,0,0,0,1
N20000014,505,0,0,0,1,0,0,0,0,0,0,0,0
N20000015,579,0,0,5,0,0,0,0,1,1,0,0,0
N20000016,444,0,0,2,0,1,0,0,0,1,0,5,0
N20000017,667,0,0,0,0,1,0,0,1,5,0,2,0
N20000018,479,0,0,0,6,0,0,0,1,0,0,0,0
N20000019,369,0,0,4,1,0,0,0,0,14,0,5,0
N20000020,545,5,0,0,0,3,0,0,0,8,0,0,1
N20000021,540,0,0,0,0,0,0,0,0,0,0,4,1
N20000022,437,0,0,1,1,0,0,0,0,1,0,1,0
N20000023,491,0,0,0,1,0,0,0,0,0,0,4,3
N20000024,620,0,0,0,0,0,0,0,0,0,0,0,0
N20000025,360,0,0,28,0,19,3,0,0,0,0,5,0
N20000026,550,0,0,0,0,0,0,0,0,0,0,4,0
N20000027,459,0,0,64,9,26,0,0,0,0,0,1,0
N20000028,546,0,0,0,0,1,0,0,0,0,3,0,0
N20000029,545,0,0,0,0,0,0,0,0,2,0,4,0
N20000030,490,0,0,1,0,2,0,0,0,2,0,0,1
N20000031,524,0,0,3,0,0,0,0,0,4,0,0,0
N20000032,458,0,1,0,0,0,0,0,0,0,0,0,0
N20000033,536,0,0,0,0,0,0,0,0,0,0,0,0
N20000034,438,0,0,0,0,0,0,0,1,0,0,0,0
N20000035,592,0,0,35,4,9,0,5,0,6,1,17,2
N20000036,360,0,0,1,0,1,3,8,0,1,0,0,0
N20000037,395,0,0,0,2,0,0,4,9,4,6,1,0
N20000038,556,0,0,44,0,12,0,0,0,7,0,5,4
N20000039,480,2,0,3,0,0,1,0,0,1,0,13,0
N20000040,323,16,0,3,0,0,0,15,0,10,0,5,1
N20000041,831,0,0,52,11,26,0,0,1,0,0,9,1
N20000042,527,0,0,76,3,43,6,0,0,0,0,9,0
N20000043,715,0,0,68,19,8,0,0,0,3,0,4,2
N20000044,444,0,0,38,8,1,0,0,0,1,0,1,0
N20000045,430,0,0,16,0,15,0,0,0,0,0,5,0
N20000046,544,0,0,14,4,0,0,2,0,5,0,1,0
N20000047,480,0,0,6,7,14,2,0,0,0,0,6,1
N20000048,540,0,0,9,6,0,0,0,0,0,0,7,0
N20000049,504,0,0,35,3,10,0,0,0,2,0,0,0
N20000050,418,0,0,0,0,3,0,0,0,0,0,0,4
N20000051,474,0,0,6,2,0,0,0,1,0,1,9,0
N20000052,492,0,0,6,0,1,0,0,0,0,0,1,1
N20000053,382,0,0,16,0,0,0,0,0,9,0,1,0
N20000054,504,0,0,3,3,0,0,1,1,1,0,4,0
N20000055,318,0,0,1,11,0,0,0,0,3,0,3,0
N20000056,467,0,0,5,4,0,0,0,0,0,0,6,0
N20000057,431,2,0,8,13,0,0,0,0,6,0,4,0
N20000058,396,0,0,8,3,2,0,0,0,1,3,0,0
N20000059,383,0,0,8,0,0,0,0,0,11,0,10,1
N20000060,348,0,0,3,0,0,0,0,0,0,0,4,0
N20000061,362,0,0,8,0,0,9,0,1,0,0,3,0
N20000062,583,0,0,5,0,0,0,0,0,6,0,3,0
N20000063,321,0,0,28,0,0,0,3,1,0,0,1,0
N20000064,378,0,0,5,3,1,0,0,0,0,0,2,1
N20000065,485,0,0,2,0,0,4,0,0,0,0,0,0
N20000066,325,0,0,0,0,0,0,0,0,0,0,0,0
N20000067,498,0,0,0,0,0,0,11,0,0,0,12,0
N20000068,410,0,0,0,3,0,0,0,8,2,0,0,0
N20000069,451,0,0,0,0,0,4,0,1,1,0,4,0
N20000070,419,0,0,4,1,0,0,0,1,0,0,0,1
N20000071,313,0,0,7,5,0,0,0,1,4,0,3,6
N20000072,517,0,0,9,4,0,4,0,0,3,7,15,0
N20000073,465,0,0,2,1,0,0,0,1,0,0,2,0
N20000074,460,0,0,0,0,0,0,0,4,0,0,3,1
N20000075,411,0,0,8,0,1,0,0,0,1,0,5,6
N20000076,345,0,0,8,5,0,0,0,0,9,1,0,5
N20000077,298,1,0,3,1,0,0,0,0,2,0,1,0
N20000078,320,0,0,1,0,0,1,0,0,1,0,0,0
N20000079,379,0,0,1,0,0,0,0,2,2,1,2,0
N20000080,591,0,0,1,23,4,1,2,7,1,0,2,1
N20000081,325,0,0,4,0,0,0,0,0,4,0,0,1
N20000082,441,0,0,0,0,0,0,0,0,9,0,0,2
N20000083,269,0,0,0,1,0,0,0,0,0,0,0,0
N20000084,286,0,0,0,0,0,0,0,0,0,0,0,2
N20000085,566,0,0,8,1,1,0,5,0,0,2,8,4
N20000086,606,0,0,1,0,0,0,0,1,0,0,3,0
N20000087,472,0,0,0,0,0,0,0,0,0,1,0,0
N20000088,480,0,0,0,0,0,0,0,0,4,2,0,0
N20000089,674,0,0,0,0,0,0,0,0,1,0,4,0
N20000090,787,0,0,0,5,0,0,0,0,2,0,9,0
N20000091,500,0,0,0,2,0,0,0,2,0,0,4,0
N20000092,797,0,0,2,0,0,0,0,0,0,0,3,0
N20000093,401,0,0,0,0,0,0,0,1,0,0,6,0
N20000094,421,0,0,0,0,0,0,0,0,0,0,4,2
N20000095,392,0,0,1,1,0,0,0,0,0,0,3,0
N20000096,578,0,0,0,0,0,0,0,0,0,0,4,0
N20000097,559,0,0,2,0,0,0,1,0,2,1,7,1
N20000098,383,0,0,0,0,0,0,0,0,0,0,0,0
N20000099,462,0,0,0,1,1,0,0,0,0,0,0,0
N20000100,695,0,0,0,1,0,0,0,1,0,1,6,1
N20000101,457,0,0,2,1,0,0,0,0,0,0,2,1
N20000102,464,0,0,6,0,0,0,2,0,0,0,3,0
N20000103,349,0,0,0,2,1,0,0,1,0,0,0,0
N20000104,529,0,0,2,0,0,0,0,0,2,0,0,0
N20000105,401,1,0,1,0,0,0,0,2,2,0,0,0
N20000106,411,0,0,0,0,0,0,0,0,0,1,1,0
N20000107,379,1,0,4,0,1,0,0,0,5,2,9,1
N20000108,349,0,0,0,0,0,0,0,0,0,0,0,0
N20000109,547,0,0,1,1,0,0,0,0,0,0,3,0
N20000110,657,0,0,0,1,0,0,0,0,0,0,3,0
N20000111,548,0,0,0,1,0,5,0,2,0,0,1,0
N20000112,314,0,0,0,0,0,0,0,0,5,2,1,1
N20000113,394,0,0,0,7,0,0,0,0,0,1,0,0
N20000114,439,0,0,0,0,0,0,0,0,0,0,0,0
N20000115,715,0,0,5,1,0,0,0,0,0,0,6,0
N20000116,301,0,0,0,0,0,0,0,0,0,0,3,7
N20000117,339,0,0,1,0,1,0,0,0,0,0,2,0
N20000118,414,0,0,0,0,0,0,0,1,0,0,2,1
N20000119,330,0,0,2,0,0,0,0,0,0,0,0,0
N20000120,401,0,0,0,1,0,0,0,0,0,0,0,0
N20000121,691,0,0,0,0,0,4,0,0,1,0,8,1
N20000122,708,0,0,0,0,0,0,0,0,0,0,2,1
N20000123,481,0,0,0,2,0,0,0,1,0,0,5,0
N20000124,452,0,0,1,1,0,0,0,1,0,0,1,1
N20000125,428,0,0,1,2,0,0,0,1,6,0,3,0
N20000126,600,0,0,0,6,0,0,0,1,0,0,2,2
N20000127,191,0,0,0,0,0,0,0,0,0,1,1,0
N20000128,689,0,0,3,0,0,0,0,0,5,0,4,0
N20000129,809,0,0,5,0,0,0,0,0,1,1,7,3
N20000130,546,0,0,2,3,0,0,0,1,0,0,9,0
N20000131,390,0,0,2,0,0,0,0,0,0,0,0,0
N20000132,557,0,0,5,33,1,0,0,0,1,0,6,0
N20000133,724,0,0,0,8,0,4,0,0,0,0,4,0
N20000134,617,0,0,20,21,0,0,0,0,0,1,18,0
N20000135,521,0,0,0,0,0,0,0,0,0,0,0,2
N20000136,488,0,0,0,1,0,0,0,1,0,0,3,0
N20000137,445,0,0,2,0,1,0,0,0,2,0,6,1
N20000138,487,0,0,0,1,0,0,0,3,1,0,5,0
N20000139,458,0,0,0,0,0,0,1,0,1,0,2,0
N20000140,629,0,0,18,37,0,5,0,11,8,0,8,3
N20000141,339,0,0,0,3,0,0,2,0,0,0,4,3
N20000142,346,0,0,0,0,0,0,0,0,0,0,1,0
N20000143,595,0,0,7,9,1,3,0,0,2,0,8,0
N20000144,375,0,1,0,5,1,0,0,0,0,0,0,0
N20000145,260,0,0,0,0,0,0,0,0,0,0,0,0
N20000146,387,0,0,3,2,0,0,0,0,4,0,6,0
N20000147,503,0,0,0,0,0,0,0,0,0,0,0,0
N20000148,310,0,0,0,0,0,0,0,0,0,0,0,0
N20000149,592,0,0,18,1,1,1,0,1,1,0,0,0
N20000150,316,0,0,2,0,0,0,0,0,0,0,1,0
N20000151,588,0,0,10,3,0,0,0,1,1,0,4,3
N20000152,327,0,0,15,6,0,3,0,3,0,0,12,4
N20000153,544,0,0,0,0,0,0,0,0,1,0,0,1
N20000154,776,0,0,0,0,0,0,0,4,0,0,3,4
N20000155,345,0,0,0,1,0,0,0,0,5,0,4,0
N20000156,663,0,0,0,6,0,0,0,0,0,0,4,1
N20000157,662,1,0,0,0,0,2,0,0,1,0,8,1
N20000158,573,0,0,2,2,0,3,4,8,0,0,3,0
N20000159,378,0,0,0,4,1,0,0,0,0,0,1,1
N20000160,339,0,0,6,5,0,0,0,4,0,1,10,0
N20000161,495,0,0,22,5,5,0,0,0,1,0,12,7
N20000162,717,0,0,5,0,2,0,0,6,1,1,15,2
N20000163,506,0,0,3,12,0,1,0,0,5,0,4,0
N20000164,563,0,0,0,6,0,0,0,2,0,0,0,0
N20000165,436,0,0,4,2,3,0,0,0,10,0,4,1
N20000166,373,0,0,5,3,1,0,0,0,3,0,7,1
N20000167,286,0,0,1,0,0,1,1,0,10,3,5,0
N20000168,413,0,0,0,4,1,0,0,0,1,2,5,2
N20000169,413,0,0,0,1,5,0,0,0,3,0,7,0
N20000170,457,0,0,0,0,3,2,0,0,2,1,9,0
N20000171,411,0,0,16,4,16,0,0,0,0,1,8,0
N20000172,508,0,0,45,8,9,0,11,10,0,0,6,0
N20000173,619,0,0,7,0,0,0,0,0,3,2,7,1
N20000174,613,0,0,0,0,2,0,0,0,0,0,8,0
N20000175,379,4,0,22,0,15,4,0,4,9,0,0,4
N20000176,408,0,0,0,2,0,1,0,0,0,0,0,0
N20000177,319,1,0,15,7,0,0,0,0,8,2,3,0
N20000178,399,5,0,10,0,0,0,0,1,7,7,10,0
N20000179,530,0,0,8,3,25,12,0,0,9,0,4,0
N20000180,477,0,0,0,0,0,0,0,0,0,2,3,0
N20000181,456,0,0,1,2,0,0,0,0,0,0,1,2
N20000182,677,0,0,0,0,0,0,0,0,0,0,2,1
N20000183,407,0,0,0,6,0,0,0,0,4,0,5,1
N20000184,409,0,0,2,0,0,0,0,0,0,0,7,0
N20000185,233,0,0,4,1,0,0,0,1,0,0,2,1
N20000186,190,0,0,3,0,4,0,0,5,0,0,1,0
N20000187,362,0,0,0,0,1,1,0,0,0,0,6,1
N20000188,477,0,0,16,7,0,0,0,0,0,1,0,0
N20000189,566,0,0,0,0,0,0,0,0,5,0,1,0
N20000190,356,0,0,2,0,0,0,0,0,0,0,0,0
N20000191,391,0,0,0,0,0,0,0,6,3,1,4,0
N20000192,260,0,0,0,0,0,1,0,0,0,0,0,0
N20000193,234,0,0,0,0,1,0,0,0,0,0,3,0
N20000194,344,0,0,0,0,0,0,0,0,8,0,5,1
