dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000001,41,73,226,55,343
N20000002,16,34,108,30,144
N20000003,12,45,110,19,179
N20000004,37,51,199,37,339
N20000005,41,66,187,59,323
N20000006,26,40,142,21,235
N20000007,40,84,274,50,432
N20000008,34,55,165,51,337
N20000009,23,43,117,25,193
N20000010,34,47,155,52,258
N20000011,19,60,127,13,306
N20000012,19,44,143,29,268
N20000013,23,40,103,27,214
N20000014,23,41,125,19,298
N20000015,24,32,143,22,365
N20000016,17,40,135,26,236
N20000017,30,74,215,9,348
N20000018,29,51,165,24,217
N20000019,7,19,113,18,235
N20000020,19,50,150,9,334
N20000021,32,46,193,25,249
N20000022,14,29,175,16,206
N20000023,20,50,150,18,264
N20000024,21,47,174,53,325
N20000025,15,42,145,18,195
N20000026,38,53,166,35,262
N20000027,12,61,197,22,266
N20000028,16,42,167,30,295
N20000029,30,55,153,31,283
N20000030,37,44,149,37,229
N20000031,32,41,182,27,249
N20000032,28,44,138,25,224
N20000033,21,64,166,47,238
N20000034,29,35,133,27,215
N20000035,38,77,219,26,311
N20000036,12,40,116,9,197
N20000037,13,26,93,14,275
N20000038,22,55,287,29,235
N20000039,16,39,145,13,286
N20000040,10,48,85,10,218
N20000041,40,100,323,29,439
N20000042,18,66,270,20,289
N20000043,23,84,292,36,387
N20000044,25,44,197,15,214
N20000045,19,44,164,22,217
N20000046,20,74,156,7,313
N20000047,14,55,144,13,291
N20000048,16,58,135,14,339
N20000049,23,55,159,12,305
N20000050,22,27,98,14,266
N20000051,20,46,100,5,322
N20000052,21,63,133,7,277
N20000053,11,33,100,6,256
N20000054,26,51,140,9,291
N20000055,16,38,69,7,205
N20000056,16,44,109,8,305
N20000057,21,37,152,14,240
N20000058,15,36,89,12,263
N20000059,20,34,104,14,242
N20000060,11,35,123,11,174
N20000061,9,39,99,11,224
N20000062,27,56,152,11,351
N20000063,9,38,134,10,162
N20000064,16,38,112,11,218
N20000065,27,39,125,14,287
N20000066,13,24,68,3,217
N20000067,11,43,84,5,378
N20000068,15,31,50,3,324
N20000069,18,43,151,22,228
N20000070,18,39,132,7,230
N20000071,13,28,116,11,169
N20000072,23,47,172,25,292
N20000073,21,47,120,13,272
N20000074,14,61,125,6,262
N20000075,17,55,157,19,184
N20000076,15,35,131,16,174
N20000077,12,27,99,2,166
N20000078,14,19,84,10,196
N20000079,11,41,93,4,238
N20000080,30,52,197,31,321
N20000081,10,23,95,12,194
N20000082,8,34,107,12,293
N20000083,11,29,81,5,144
N20000084,11,18,73,8,178
N20000085,27,61,233,26,247
N20000086,40,61,175,33,305
N20000087,25,51,122,28,246
N20000088,20,59,155,32,220
N20000089,39,81,201,33,325
N20000090,40,78,263,46,376
N20000091,20,60,201,22,205
N20000092,29,81,279,40,375
N20000093,16,27,82,11,273
N20000094,20,48,165,22,172
N20000095,20,39,77,9,252
N20000096,33,69,183,24,274
N20000097,27,46,136,14,351
N20000098,13,38,95,11,225
N20000099,30,46,136,34,218
N20000100,40,76,175,58,359
N20000101,19,51,168,23,202
N20000102,14,55,165,21,220
N20000103,11,28,90,6,218
N20000104,17,48,111,11,346
N20000105,16,42,108,6,235
N20000106,14,37,143,12,207
N20000107,8,33,126,13,222
N20000108,7,23,56,11,253
N20000109,36,45,165,22,284
N20000110,31,66,210,20,334
N20000111,21,65,144,17,310
N20000112,15,28,65,4,212
N20000113,18,40,127,16,199
N20000114,20,45,133,16,223
N20000115,30,70,285,29,313
N20000116,13,32,106,16,146
N20000117,10,29,109,19,176
N20000118,22,45,123,17,211
N20000119,17,29,87,19,183
N20000120,24,35,97,29,217
N20000121,50,74,178,44,359
N20000122,33,63,205,53,357
N20000123,20,53,173,19,221
N20000124,24,50,138,22,223
N20000125,21,41,134,30,214
N20000126,35,58,201,49,269
N20000127,4,22,69,2,96
N20000128,32,68,255,31,315
N20000129,30,68,151,19,559
N20000130,27,67,179,11,278
N20000131,14,40,97,8,231
N20000132,21,40,177,58,306
N20000133,37,64,260,25,354
N20000134,30,59,184,45,359
N20000135,22,48,164,24,265
N20000136,17,38,112,19,307
N20000137,18,47,148,10,234
N20000138,22,50,132,18,275
N20000139,26,47,108,17,264
N20000140,68,45,207,34,365
N20000141,13,24,171,16,127
N20000142,13,26,63,5,242
N20000143,31,41,163,37,353
N20000144,21,36,132,13,179
N20000145,6,22,43,6,182
N20000146,18,45,74,9,256
N20000147,13,48,127,10,305
N20000148,9,28,88,9,176
N20000149,17,61,176,22,340
N20000150,10,33,64,7,207
N20000151,27,54,194,20,314
N20000152,28,31,118,19,172
N20000153,16,51,130,8,342
N20000154,25,69,182,17,493
N20000155,20,27,94,6,208
N20000156,37,79,219,26,313
N20000157,31,71,190,16,367
N20000158,29,48,183,29,307
N20000159,15,41,61,5,263
N20000160,21,35,98,27,183
N20000161,21,50,219,26,231
N20000162,31,60,186,34,437
N20000163,21,52,206,13,238
N20000164,23,61,205,24,257
N20000165,25,43,172,17,203
N20000166,21,30,103,16,223
N20000167,10,26,89,12,169
N20000168,18,50,103,6,251
N20000169,15,41,108,3,262
N20000170,15,42,140,7,270
N20000171,20,51,149,14,222
N20000172,35,59,208,23,272
N20000173,20,55,183,19,362
N20000174,30,61,144,10,378
N20000175,23,38,160,8,213
N20000176,19,41,150,13,188
N20000177,16,19,109,14,195
N20000178,24,37,75,9,295
N20000179,26,60,173,16,316
N20000180,15,38,111,11,308
N20000181,14,56,79,14,298
N20000182,30,57,137,9,449
N20000183,11,46,99,8,260
N20000184,12,59,71,2,272
N20000185,9,19,71,7,139
N20000186,11,13,60,2,116
N20000187,14,43,69,8,237
N20000188,23,33,139,29,277
N20000189,26,58,109,7,372
N20000190,18,44,104,9,184
N20000191,16,36,95,9,251
N20000192,9,22,52,6,169
N20000193,6,18,51,6,157
N20000194,10,39,65,3,240
N20000195,17,53,92,9,359
