dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000001,21,18,50,79,30,4,9,27,10
N20000002,12,15,25,27,19,3,3,17,6
N20000003,6,13,20,34,18,2,6,22,8
N20000004,18,11,35,73,25,8,8,30,11
N20000005,23,11,30,64,44,8,5,33,14
N20000006,19,17,32,44,17,4,7,20,9
N20000007,38,19,38,81,49,7,15,30,11
N20000008,30,26,29,60,24,10,12,33,13
N20000009,9,5,21,53,16,3,2,18,5
N20000010,13,16,26,50,25,2,6,26,16
N20000011,35,43,26,33,18,29,15,23,9
N20000012,31,49,40,34,20,5,9,34,6
N20000013,20,12,21,35,17,4,6,24,4
N20000014,20,11,43,46,18,12,5,21,4
N20000015,27,51,25,37,13,39,24,13,4
N20000016,26,26,21,44,15,12,16,17,6
N20000017,24,36,35,62,21,29,26,21,8
N20000018,8,20,26,51,19,14,11,9,10
N20000019,47,83,27,15,2,11,5,17,13
N20000020,37,58,22,33,19,25,22,27,11
N20000021,11,25,30,68,22,15,3,11,7
N20000022,7,28,22,49,13,15,6,5,6
N20000023,21,28,35,44,25,15,7,19,4
N20000024,19,24,18,61,26,10,16,18,10
N20000025,3,19,13,58,9,15,3,2,6
N20000026,21,15,46,53,24,3,6,33,6
N20000027,2,25,25,96,7,11,4,3,6
N20000028,24,16,20,55,20,3,11,18,11
N20000029,19,33,33,55,21,11,10,21,8
N20000030,29,15,23,48,26,7,9,23,9
N20000031,23,38,43,40,32,9,11,24,6
N20000032,12,13,12,47,23,5,6,14,7
N20000033,14,12,23,51,38,2,12,8,9
N20000034,13,8,15,45,24,5,5,14,9
N20000035,8,58,35,86,10,23,7,12,11
N20000036,10,37,20,38,6,24,5,4,7
N20000037,10,53,13,34,7,30,7,4,8
N20000038,3,70,65,66,13,16,5,9,11
N20000039,15,22,31,33,20,6,12,30,8
N20000040,4,23,12,29,8,36,7,7,8
N20000041,20,29,58,107,35,24,12,31,17
N20000042,1,39,52,90,2,17,8,5,18
N20000043,5,37,45,112,10,32,5,8,18
N20000044,6,31,56,56,9,12,3,15,9
N20000045,21,19,34,42,25,7,3,26,7
N20000046,28,68,29,44,10,33,18,22,10
N20000047,19,36,35,34,11,22,8,15,5
N20000048,43,25,33,35,33,12,16,33,11
N20000049,39,81,29,28,15,19,31,22,12
N20000050,24,72,15,27,8,20,26,14,4
N20000051,26,30,11,34,15,34,22,16,10
N20000052,19,38,28,27,21,32,21,20,5
N20000053,33,45,20,24,8,22,18,15,6
N20000054,36,47,20,25,15,32,18,22,10
N20000055,21,37,20,14,4,36,15,9,4
N20000056,11,48,20,33,13,33,14,7,11
N20000057,26,45,34,35,12,13,19,19,10
N20000058,18,42,19,29,9,36,11,9,6
N20000059,21,68,21,27,10,20,14,8,8
N20000060,14,21,18,31,12,17,11,11,6
N20000061,18,43,11,26,7,28,11,12,10
N20000062,26,80,30,32,8,45,27,15,11
N20000063,26,90,31,15,5,13,10,12,8
N20000064,27,17,38,22,21,7,13,27,2
N20000065,31,29,29,30,14,10,13,54,10
N20000066,15,41,17,18,8,23,12,13,5
N20000067,22,63,12,36,7,38,19,15,8
N20000068,49,47,13,12,8,10,17,13,10
N20000069,10,25,32,58,16,8,6,8,5
N20000070,27,20,29,29,22,5,13,35,3
N20000071,10,28,22,28,12,15,11,4,8
N20000072,26,28,37,50,16,8,10,25,15
N20000073,32,58,30,33,11,22,13,21,6
N20000074,41,58,26,20,12,33,18,21,8
N20000075,8,37,25,56,7,16,8,6,4
N20000076,19,60,23,33,12,13,7,11,4
N20000077,35,72,16,15,8,8,11,12,3
N20000078,30,63,12,15,11,14,8,10,6
N20000079,28,53,23,23,5,34,13,6,5
N20000080,22,30,37,62,30,13,7,34,9
N20000081,36,45,16,26,6,13,7,8,9
N20000082,39,63,19,18,14,32,22,15,6
N20000083,19,41,19,16,10,5,9,15,4
N20000084,41,16,20,10,16,5,6,26,4
N20000085,9,26,45,67,29,19,7,8,4
N20000086,27,36,40,69,20,8,13,25,6
N20000087,26,21,37,40,22,5,9,32,4
N20000088,17,45,29,60,17,9,7,15,2
N20000089,15,33,54,67,20,18,10,27,14
N20000090,17,24,45,105,32,18,9,21,2
N20000091,6,39,46,59,14,15,8,8,4
N20000092,23,39,52,91,35,15,14,15,5
N20000093,29,45,21,10,12,37,22,19,6
N20000094,7,24,30,65,9,8,1,4,3
N20000095,16,52,16,21,9,41,16,5,4
N20000096,16,31,43,65,24,14,12,13,6
N20000097,37,32,41,38,15,13,10,52,11
N20000098,21,19,25,27,16,10,10,28,3
N20000099,19,36,27,41,14,9,8,26,12
N20000100,28,25,45,59,37,8,9,36,9
N20000101,11,18,21,61,22,11,6,10,1
N20000102,14,66,37,52,12,20,4,8,3
N20000103,55,74,14,15,4,11,18,13,6
N20000104,27,57,34,23,7,45,16,11,11
N20000105,22,50,27,30,5,20,9,6,7
N20000106,24,38,30,36,12,14,10,21,3
N20000107,16,81,29,28,4,23,10,14,5
N20000108,69,75,18,6,5,21,11,11,4
N20000109,17,16,39,58,19,11,11,32,5
N20000110,15,31,47,68,18,27,12,27,5
N20000111,16,27,40,42,24,13,11,29,5
N20000112,31,18,17,20,12,17,16,18,0
N20000113,15,58,32,34,9,23,8,11,5
N20000114,19,30,34,38,22,7,9,27,3
N20000115,22,49,86,60,25,22,14,19,11
N20000116,19,42,31,26,5,9,3,13,5
N20000117,22,19,32,28,17,6,4,22,0
N20000118,25,46,20,38,17,10,9,12,6
N20000119,21,25,31,28,9,7,3,22,4
N20000120,23,6,28,32,20,0,7,29,9
N20000121,24,30,49,64,28,6,7,45,12
N20000122,33,20,44,75,30,7,5,40,9
N20000123,13,21,35,63,15,7,10,17,4
N20000124,21,30,34,33,18,7,8,26,8
N20000125,32,29,36,35,18,6,5,28,5
N20000126,4,12,43,83,28,8,8,13,6
N20000127,21,34,14,13,3,12,2,7,2
N20000128,12,10,45,98,30,6,4,17,9
N20000129,39,78,33,51,12,72,31,24,12
N20000130,22,33,46,41,30,20,12,15,6
N20000131,24,53,20,26,8,35,11,9,2
N20000132,7,7,56,70,31,3,6,18,5
N20000133,28,13,58,91,28,8,12,39,3
N20000134,24,14,53,87,29,5,4,28,4
N20000135,28,32,44,32,30,8,13,41,5
N20000136,49,12,34,24,28,2,8,66,5
N20000137,47,37,33,35,17,5,7,27,8
N20000138,33,43,40,26,19,18,20,32,5
N20000139,38,44,29,35,16,6,8,38,2
N20000140,8,26,49,72,2,4,4,10,2
N20000141,8,26,60,28,8,8,6,15,6
N20000142,21,39,12,19,5,33,10,13,6
N20000143,35,16,53,59,18,7,8,47,8
N20000144,19,24,32,36,15,8,6,16,2
N20000145,46,59,13,6,1,13,8,13,2
N20000146,23,48,22,17,7,40,9,11,7
N20000147,29,54,24,36,10,35,13,14,6
N20000148,19,12,27,27,12,5,7,24,2
N20000149,44,33,54,58,14,9,8,47,8
N20000150,22,50,8,17,8,28,15,4,4
N20000151,30,18,39,60,34,13,13,35,3
N20000152,24,30,34,26,17,3,4,21,6
N20000153,66,85,34,22,15,37,12,25,6
N20000154,31,56,22,63,22,54,31,25,7
N20000155,20,64,15,16,9,23,15,7,5
N20000156,20,27,42,70,31,21,14,31,5
N20000157,38,16,52,65,29,17,18,38,3
N20000158,33,14,50,68,19,7,5,46,1
N20000159,22,24,10,24,16,33,8,8,4
N20000160,0,6,12,69,5,4,0,3,2
N20000161,7,46,39,66,19,9,4,11,8
N20000162,36,31,49,51,27,6,13,43,9
N20000163,3,30,38,71,13,16,8,3,6
N20000164,14,9,42,73,27,1,6,16,8
