dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000001,135,82,31,2,0
N20000002,54,50,18,5,0
N20000003,58,44,22,4,0
N20000004,110,83,23,4,0
N20000005,117,77,31,5,0
N20000006,88,47,24,7,3
N20000007,135,83,55,17,0
N20000008,101,91,37,7,0
N20000009,73,38,17,3,0
N20000010,88,66,21,7,0
N20000011,75,59,69,26,2
N20000012,92,84,38,12,2
N20000013,53,60,25,5,0
N20000014,95,59,22,5,1
N20000015,74,56,65,32,6
N20000016,74,51,37,20,0
N20000017,113,87,53,7,0
N20000018,78,61,25,4,0
N20000019,51,64,66,31,6
N20000020,67,84,71,26,8
N20000021,115,48,26,2,0
N20000022,102,35,10,4,0
N20000023,91,61,39,7,0
N20000024,90,67,29,14,2
N20000025,83,34,7,4,0
N20000026,113,72,20,1,0
N20000027,122,45,8,4,0
N20000028,97,53,23,7,0
N20000029,101,66,33,12,0
N20000030,112,55,19,2,1
N20000031,104,58,47,16,1
N20000032,66,43,23,6,0
N20000033,84,55,22,5,0
N20000034,72,49,13,3,0
N20000035,122,79,37,12,0
N20000036,65,39,31,15,2
N20000037,44,43,45,27,7
N20000038,187,48,14,6,0
N20000039,65,79,26,6,1
N20000040,51,54,22,5,1
N20000041,158,119,52,5,0
N20000042,164,45,19,4,1
N20000043,161,84,24,1,1
N20000044,133,38,21,8,2
N20000045,75,65,34,8,0
N20000046,93,75,66,25,3
N20000047,94,56,31,1,2
N20000048,93,93,49,9,0
N20000049,74,101,68,31,1
N20000050,51,79,43,29,8
N20000051,48,69,58,21,1
N20000052,67,78,48,20,0
N20000053,47,59,60,23,2
N20000054,69,78,54,18,3
N20000055,45,45,48,17,4
N20000056,46,69,48,27,2
N20000057,89,79,41,5,0
N20000058,58,56,49,17,0
N20000059,47,68,60,22,2
N20000060,73,39,22,5,1
N20000061,58,61,35,16,0
N20000062,76,86,77,34,1
N20000063,78,70,51,9,3
N20000064,67,69,34,4,0
