dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000001,56,359,48,14,92,11,143,15
N20000002,8,164,32,4,54,1,66,2
N20000003,35,178,31,8,49,1,56,6
N20000004,271,174,29,3,61,10,100,12
N20000005,25,379,64,15,66,3,117,5
N20000006,175,140,36,1,48,2,58,5
N20000007,764,50,15,0,19,2,23,7
N20000008,337,148,40,4,43,5,64,3
N20000009,77,176,39,5,43,2,54,6
N20000010,22,242,61,12,72,3,126,6
N20000011,118,155,78,1,49,10,106,9
N20000012,83,173,73,5,59,13,76,23
N20000013,111,146,27,5,35,13,65,3
N20000014,173,128,41,2,57,1,92,12
N20000015,528,8,9,0,3,2,30,6
N20000016,211,84,23,5,20,3,99,6
N20000017,577,9,17,2,5,5,57,4
N20000018,390,10,12,0,11,0,56,7
N20000019,166,71,27,3,47,3,66,10
N20000020,290,93,39,2,46,5,73,17
N20000021,397,35,7,7,16,1,73,7
N20000022,404,9,0,0,4,0,15,9
N20000023,281,71,46,1,18,4,79,4
N20000024,494,51,19,1,23,1,27,4
N20000025,199,72,41,0,25,4,73,0
N20000026,17,265,76,13,67,3,97,15
N20000027,256,86,13,1,54,17,124,7
N20000028,317,128,15,0,27,1,47,15
N20000029,312,82,39,2,11,1,98,6
N20000030,53,224,66,8,45,3,94,4
N20000031,25,220,74,8,58,6,136,5
N20000032,359,24,17,0,1,0,50,9
N20000033,447,33,4,0,9,0,38,4
N20000034,356,32,5,0,2,0,34,10
N20000035,304,91,59,6,49,12,140,9
N20000036,171,33,31,2,19,19,90,9
N20000037,151,47,22,3,35,31,126,6
N20000038,207,80,44,6,68,22,194,7
N20000039,149,117,53,10,36,7,107,20
N20000040,188,24,32,4,12,19,87,4
N20000041,319,188,86,15,66,16,232,7
N20000042,227,79,37,11,111,17,172,10
N20000043,269,127,65,12,74,34,234,5
N20000044,184,87,53,12,22,13,119,4
N20000045,217,75,35,9,18,3,104,5
N20000046,91,157,99,10,49,2,155,8
N20000047,137,138,69,10,37,7,106,12
N20000048,230,96,59,9,36,16,111,3
N20000049,305,59,44,2,28,8,98,10
N20000050,48,118,63,9,34,1,137,15
N20000051,315,32,10,2,18,7,100,9
N20000052,141,95,84,2,44,5,122,7
N20000053,152,58,45,7,19,7,113,8
N20000054,41,153,86,5,22,6,172,31
N20000055,32,96,56,8,21,3,122,1
N20000056,123,97,40,10,47,0,163,2
N20000057,197,74,42,11,23,6,107,6
N20000058,67,111,70,2,42,8,112,2
N20000059,173,34,32,4,19,14,121,16
N20000060,128,78,45,12,27,0,62,3
N20000061,82,97,59,6,37,12,84,5
N20000062,91,183,100,6,62,8,143,4
N20000063,120,53,35,3,17,24,95,7
N20000064,121,89,40,17,29,6,89,3
N20000065,184,96,61,10,34,5,94,8
N20000066,147,36,14,3,22,4,95,4
N20000067,215,53,56,6,29,16,135,11
N20000068,147,116,53,6,25,12,47,17
N20000069,151,108,72,6,39,5,79,4
N20000070,126,98,64,27,22,3,83,3
N20000071,93,61,58,4,12,11,93,5
N20000072,136,155,74,5,52,14,108,14
N20000073,74,159,80,5,46,3,101,5
N20000074,39,157,76,3,45,3,134,11
N20000075,126,73,61,8,44,10,109,1
N20000076,140,50,31,7,24,9,110,3
N20000077,68,77,52,2,21,6,69,10
N20000078,46,93,53,3,15,2,106,5
N20000079,22,132,72,4,31,4,116,5
N20000080,139,203,64,8,38,13,162,8
N20000081,77,69,71,4,30,4,77,2
N20000082,37,155,67,10,53,4,123,3
N20000083,77,73,38,0,15,5,52,7
N20000084,105,78,37,3,14,0,44,6
N20000085,157,137,91,18,31,13,138,8
N20000086,13,253,89,41,78,6,129,2
N20000087,15,246,37,26,75,3,68,3
N20000088,4,189,44,31,98,3,113,4
N20000089,30,235,66,38,147,3,155,4
N20000090,41,291,116,41,93,4,212,5
N20000091,8,198,63,22,88,0,127,3
N20000092,40,266,119,46,105,10,198,18
N20000093,8,144,83,36,27,0,106,3
N20000094,16,123,47,10,91,0,138,2
N20000095,23,144,47,22,26,1,128,5
N20000096,19,218,85,38,54,8,150,12
N20000097,21,202,89,43,72,4,137,6
N20000098,8,141,52,26,43,1,112,0
N20000099,13,218,54,16,35,1,122,5
N20000100,29,311,75,66,94,2,123,5
N20000101,11,165,54,50,86,1,96,3
N20000102,35,144,52,21,53,3,162,5
N20000103,18,123,49,17,26,4,103,13
N20000104,19,169,86,23,48,3,178,6
N20000105,28,118,49,23,40,3,138,6
N20000106,26,131,61,39,45,0,112,1
N20000107,37,104,45,21,54,4,133,4
N20000108,18,108,53,20,31,9,110,0
N20000109,17,242,71,38,67,6,107,4
N20000110,18,284,78,69,51,0,158,1
N20000111,16,238,75,36,46,19,122,6
N20000112,19,130,70,17,16,0,70,1
N20000113,20,162,29,20,67,9,94,1
N20000114,10,148,55,26,59,0,140,2
N20000115,28,292,87,38,94,12,169,8
N20000116,22,103,51,17,30,10,79,0
N20000117,9,138,76,16,26,2,74,2
N20000118,6,188,51,39,33,0,99,2
N20000119,9,120,44,24,28,2,102,2
N20000120,11,205,37,13,46,7,80,4
N20000121,40,302,58,22,115,7,143,17
N20000122,25,335,69,23,101,3,148,5
N20000123,19,228,41,41,65,2,90,2
N20000124,31,156,59,14,76,3,113,6
N20000125,23,184,73,10,50,4,96,1
N20000126,75,154,103,42,59,2,174,1
N20000127,6,73,33,4,25,0,50,2
N20000128,96,201,86,45,86,5,177,5
N20000129,54,246,137,39,76,6,260,10
N20000130,29,181,48,50,71,4,167,11
N20000131,18,142,67,14,24,2,113,9
N20000132,121,131,58,27,39,10,213,7
N20000133,80,194,111,55,118,8,168,6
N20000134,162,140,96,26,77,13,157,6
N20000135,82,143,87,31,66,4,105,5
N20000136,32,155,89,41,54,3,110,8
N20000137,17,127,68,28,59,5,139,13
N20000138,21,163,73,39,72,3,112,13
N20000139,26,162,67,42,47,11,99,8
N20000140,159,127,50,21,71,13,215,63
N20000141,51,88,25,23,45,4,116,0
N20000142,9,109,56,17,48,1,98,11
N20000143,119,131,128,17,38,9,183,0
N20000144,43,96,36,50,26,2,126,2
N20000145,9,94,28,22,26,1,74,6
N20000146,16,123,61,25,42,7,128,2
